UnixTime(ms),PosX,PosY,PosZ,OrientX,OrientY,OrientZ,OrientW
1756066385727,-0.00547019,1.05973157,0.00256553,-0.08580165,0.02066702,0.06869127,0.99372655
1756066385738,-0.00541838,1.05970941,0.00257823,-0.08576585,0.02065701,0.06883304,0.99372004
1756066385749,-0.00541678,1.05970986,0.00259489,-0.08571845,0.02057920,0.06881993,0.99372665
1756066385760,-0.00541216,1.05969922,0.00261620,-0.08571074,0.02056415,0.06881457,0.99372800
1756066385771,-0.00541623,1.05970304,0.00264513,-0.08577724,0.02052999,0.06882121,0.99372251
1756066385782,-0.00544544,1.05974044,0.00265729,-0.08578393,0.02050666,0.06884473,0.99372078
1756066385794,-0.00548500,1.05978648,0.00266063,-0.08574362,0.02042668,0.06885391,0.99372528
1756066385805,-0.00551891,1.05982146,0.00265783,-0.08562836,0.02038462,0.06882338,0.99373819
1756066385816,-0.00553238,1.05982627,0.00268248,-0.08558188,0.02040970,0.06887849,0.99373786
1756066385827,-0.00554629,1.05984053,0.00271320,-0.08550582,0.02039495,0.06899145,0.99373688
1756066385838,-0.00557363,1.05985282,0.00273618,-0.08540516,0.02038961,0.06905473,0.99374125
1756066385849,-0.00559032,1.05989079,0.00272769,-0.08535435,0.02047051,0.06920116,0.99373376
1756066385860,-0.00560893,1.05992149,0.00271311,-0.08527238,0.02047702,0.06930150,0.99373367
1756066385871,-0.00562707,1.05993181,0.00270259,-0.08522340,0.02047372,0.06927409,0.99373986
1756066385883,-0.00564040,1.05992350,0.00273746,-0.08525481,0.02043652,0.06925360,0.99373936
1756066385894,-0.00564232,1.05990519,0.00278121,-0.08529538,0.02038446,0.06924688,0.99373741
1756066385905,-0.00565380,1.05988412,0.00283274,-0.08541409,0.02029707,0.06927892,0.99372677
1756066385916,-0.00570986,1.05983363,0.00290257,-0.08608420,0.01996026,0.06941635,0.99366618
1756066385927,-0.00577350,1.05979653,0.00295800,-0.08540584,0.02022107,0.06880401,0.99376202
1756066385938,-0.00584856,1.05980444,0.00297362,-0.08552019,0.02016513,0.06912811,0.99373083
1756066385949,-0.00585589,1.05984181,0.00299358,-0.08542900,0.02029897,0.06945056,0.99371347
1756066385961,-0.00590172,1.05986835,0.00301933,-0.08510345,0.02028560,0.06954277,0.99373523
1756066385971,-0.00592938,1.05988152,0.00305241,-0.08514792,0.02038740,0.06954659,0.99372907
1756066385983,-0.00592579,1.05986834,0.00310019,-0.08502367,0.02045497,0.06948516,0.99374261
1756066385994,-0.00592278,1.05987173,0.00315198,-0.08502767,0.02053323,0.06952300,0.99373801
1756066386005,-0.00592546,1.05988066,0.00319690,-0.08511388,0.02058869,0.06963947,0.99372133
1756066386016,-0.00594595,1.05989547,0.00321397,-0.08515713,0.02066311,0.06964420,0.99371575
1756066386027,-0.00596887,1.05989543,0.00322163,-0.08519397,0.02070448,0.06959358,0.99371527
1756066386038,-0.00599466,1.05989541,0.00320151,-0.08517651,0.02065817,0.06949942,0.99372432
1756066386050,-0.00603122,1.05991720,0.00311843,-0.08502744,0.02062750,0.06942446,0.99374297
1756066386061,-0.00605388,1.05994424,0.00304326,-0.08486687,0.02057544,0.06946580,0.99375488
1756066386072,-0.00606677,1.05998003,0.00298724,-0.08479924,0.02054777,0.06965960,0.99374766
1756066386083,-0.00606556,1.05999836,0.00299233,-0.08475231,0.02038021,0.06985683,0.99374127
1756066386094,-0.00605743,1.06001608,0.00298938,-0.08473085,0.02033762,0.06992003,0.99373953
1756066386105,-0.00606415,1.06002100,0.00300032,-0.08475030,0.02032228,0.06987695,0.99374122
1756066386116,-0.00610025,1.06000434,0.00303629,-0.08480727,0.02030453,0.06982182,0.99374059
1756066386127,-0.00613953,1.05998394,0.00307116,-0.08478506,0.02032073,0.06975777,0.99374666
1756066386139,-0.00616954,1.05997159,0.00310016,-0.08478769,0.02039570,0.06973867,0.99374624
1756066386150,-0.00618750,1.05997662,0.00312987,-0.08475913,0.02053432,0.06971157,0.99374772
