UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1756066384095,0,left,-0.03900308,1.05590382,0.00543091,-0.08263168,0.02054392,0.07090789,0.99384205
1756066384095,1,right,0.02598704,1.06494155,0.00197783,-0.08263168,0.02054392,0.07090789,0.99384205
1756066384101,0,left,-0.03900541,1.05589192,0.00542215,-0.08263894,0.02051883,0.07092995,0.99384039
1756066384101,1,right,0.02598442,1.06493277,0.00197204,-0.08263894,0.02051883,0.07092995,0.99384039
1756066384106,0,left,-0.03900952,1.05588797,0.00541815,-0.08267875,0.02051840,0.07090031,0.99383920
1756066384106,1,right,0.02598087,1.06492483,0.00196805,-0.08267875,0.02051840,0.07090031,0.99383920
1756066384114,0,left,-0.03901111,1.05587563,0.00541207,-0.08271039,0.02049724,0.07087414,0.99383888
1756066384114,1,right,0.02597989,1.06490922,0.00196472,-0.08271039,0.02049724,0.07087414,0.99383888
1756066384125,0,left,-0.03901348,1.05586294,0.00540490,-0.08272866,0.02049404,0.07079532,0.99384304
1756066384125,1,right,0.02597901,1.06488626,0.00195865,-0.08272866,0.02049404,0.07079532,0.99384304
1756066384137,0,left,-0.03900988,1.05586185,0.00540423,-0.08276675,0.02052988,0.07073408,0.99384349
1756066384137,1,right,0.02598355,1.06487668,0.00195361,-0.08276675,0.02052988,0.07073408,0.99384349
1756066384148,0,left,-0.03901655,1.05586906,0.00539930,-0.08277477,0.02059984,0.07070785,0.99384324
1756066384148,1,right,0.02597699,1.06487967,0.00193976,-0.08277477,0.02059984,0.07070785,0.99384324
1756066384159,0,left,-0.03902526,1.05586970,0.00538760,-0.08270652,0.02067327,0.07076790,0.99384312
1756066384159,1,right,0.02596677,1.06488755,0.00191844,-0.08270652,0.02067327,0.07076790,0.99384312
1756066384170,0,left,-0.03903628,1.05587578,0.00536632,-0.08264415,0.02071061,0.07080496,0.99384489
1756066384170,1,right,0.02595485,1.06489825,0.00189246,-0.08264415,0.02071061,0.07080496,0.99384489
1756066384181,0,left,-0.03904516,1.05588069,0.00536252,-0.08261732,0.02081585,0.07077298,0.99384720
